DESCRIPTION,SENSOR_NUMBER,LATITUDE,LONGITUDE,ALTITUDE,TASKS_PER_SEC,EARTH_LIMB_EXCLUSION,SOLAR_EXCLUSION_ANGLE,LUNAR_EXCLUSION_ANGLE,TWILIGHT_ANGLE,AZIMUTH_LEFT_1,AZIMUTH_RIGHT_1,AZIMUTH_LEFT_2,AZIMUTH_RIGHT_2,ELEVATION_LOW_1,ELEVATION_HIGH_1,ELEVATION_LOW_2,ELEVATION_HIGH_2,MAX_RANGE,MIN_RANGE,OPTICAL_FLAG,OPTICAL_TYPE,AZBIAS,AZSIGMA,ELBIAS,ELSIGMA,RANGEBIAS,RANGESIGMA,RANGERATEBIAS,RANGERATESIGMA,DECBIAS,DECSIGMA,RABIAS,RASIGMA,OBSERVATION_TYPE,Unnamed: 35,TASKABLE,TASK_DURATION,TASK_COOLDOWN_LAMBDA,OBS_PER_TASK,CLASSIFICATION,FREQUENCY,MIN_SNR,ANTENNA_GAIN,POWER,PULSE_WIDTH,PULSES,HPBW
SENSOR_2,2,35.26439,45.0,-6377.913827,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_5,5,28.02466,-80.68563969,-0.007557653,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_23,23,43.14915,-75.61305137,0.140933616,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,5,,True,,,,U,,,,,,,
SENSOR_25,25,35.16731,128.7555926,0.739590118,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_27,27,46.89944,-65.21019859,0.023727424,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,5,,True,,,,U,,,,,,,
SENSOR_28,28,40.64096,17.84558615,0.074891281,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,5,,True,,,,U,,,,,,,
SENSOR_29,29,-43.98728,170.463836,1.01884123,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_30,30,34.96299,-117.9145215,0.749411841,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_31,31,16.74596,-169.5142523,0.018729166,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_32,32,54.43555,-110.2847561,0.506920904,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
